amazon_order_id,purchase_date,order_total,add_city,Abbrev,add_postal,add_country,number_items,total_item_quantity,Product,repeat_buyer,Month
113-4123209-7684206,2021-02-13 11:06 PM PST,37.7,PISMO BEACH,CA,93449-3222,US,1,1,Rainforest,0.0,02
112-2993506-7129819,2021-02-14 06:04 AM PST,37.09,LUTHERVILLE TIMONIUM,MD,21093-1873,US,1,1,Rainforest,0.0,02
112-5244470-9235404,2021-02-14 07:35 AM PST,34.99,SAINT PETERSBURG,FL,33704-4714,US,1,1,Rainforest,0.0,02
112-7929311-3309804,2021-02-14 07:50 AM PST,38.01,MASSAPEQUA,NY,11758-7927,US,1,1,Floral,0.0,02
114-7097147-2830601,2021-02-14 09:01 AM PST,36.91,BLAIR,WI,54616-8901,US,1,1,Rainforest,0.0,02
113-8499732-1318614,2021-02-14 09:07 AM PST,37.96,OKANOGAN,WA,98840-0721,US,1,1,Rainforest,0.0,02
111-1446725-1573838,2021-02-14 09:20 AM PST,37.88,Plano,TX,75024,US,1,1,Rainforest,0.0,02
112-3297564-9977045,2021-02-14 09:46 AM PST,37.44,WINTERVILLE,NC,28590,US,1,1,Rainforest,1.0,02
114-6399654-9674631,2021-02-14 11:03 AM PST,38.1,STATEN ISLAND,NY,10306-4330,US,1,1,Floral,0.0,02
113-5221229-0675465,2021-02-14 11:26 AM PST,37.09,HENDRICKS,WV,26271-8071,US,1,1,Rainforest,0.0,02
111-4505622-2851421,2021-02-14 01:35 PM PST,37.53,SIMI VALLEY,CA,93063,US,1,1,Rainforest,0.0,02
113-8531537-9580260,2021-02-14 01:39 PM PST,37.18,Pembroke,MA,2359,US,1,1,Rainforest,0.0,02
113-8819093-1289859,2021-02-14 01:54 PM PST,34.99,ASHLAND,OR,97520-3689,US,1,1,Rainforest,0.0,02
111-3649001-7513851,2021-02-14 02:23 PM PST,37.88,NEW BRAUNFELS,TX,78132-5185,US,1,1,Rainforest,0.0,02
114-6847690-9984218,2021-02-14 02:42 PM PST,37.21,SIMSBURY,CT,06070-1911,US,1,1,Floral,1.0,02
113-2079033-1179407,2021-02-14 03:56 PM PST,37.8,MINNEAPOLIS,MN,55419-5365,US,1,1,Rainforest,0.0,02
112-2253772-3969014,2021-02-14 04:53 PM PST,38.01,WOODBURY,NY,11797-1809,US,1,1,Floral,0.0,02
112-5184160-5739449,2021-02-14 04:53 PM PST,37.44,EAST GREENWICH,RI,02818-4150,US,1,1,Rainforest,0.0,02
113-3112645-3202603,2021-02-14 05:29 PM PST,37.09,FOWLERVILLE,MI,48836-9571,US,1,1,Rainforest,0.0,02
112-7383759-8634632,2021-02-14 05:59 PM PST,37.44,MANHATTAN,IL,60442-9227,US,1,1,Rainforest,0.0,02
111-6546513-4738636,2021-02-14 06:12 PM PST,38.23,REDWOOD CITY,CA,94061-4119,US,1,1,Rainforest,0.0,02
